Player ID,Year,Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,erO,erD,erT,Wins Added,W/40 gm,W/40 min,Pts/100,OnCourt,On-Off
abdifa01w,2013,Farhiya Abdi,LAS,F,17,122,17,122,8.5,0.429,0.385,0,0.308,4.1,5.8,11.2,0.8,0.6,8.3,17.9,95,102,0.1,0.1,0.2,0.055,-2.668429861,-2.874720147,-5.543150008,-0.06366786,-0.074903365,-0.020874708,16.0717573,,
abdifa01w,2014,Farhiya Abdi,LAS,F,17,142,17,142,5.7,0.463,0.443,0.159,0.068,2.6,3.9,5.7,0.4,0,11.7,16.5,90,107,0,0,0,-0.006,-4.237981673,-4.619988838,-8.857970511,-0.326063147,-0.383603702,-0.091848774,15.42638629,,
abdifa01w,2015,Farhiya Abdi,LAS,F,18,237,18,237,5.4,0.42,0.411,0.418,0.089,2.8,7.8,6.5,1.6,0.7,13.7,19.6,79,103,-0.4,0.1,-0.3,-0.046,-4.978525351,-1.953872764,-6.932398116,-0.302683416,-0.356098136,-0.051085809,15.96551007,,
abrahta01w,1997,Tajama Abraham,SAC,C,28,422,28,422,6.4,0.427,0.381,0,0.302,9.2,10,6,1.5,2.3,25.6,20.3,76,102,-0.6,-0.2,-0.8,-0.077,-4.499282839,-3.388799426,-7.888082265,-0.756476192,-1.080680274,-0.071703904,15.52329705,,
abrahta01w,1998,Tajama Abraham,DET,C,12,44,12,44,8.2,0.437,0.357,0,1.071,5.4,9.4,0,2.5,1.8,19.5,26.4,79,92,-0.1,0.1,0,-0.001,-5.778609529,0.065512255,-5.713097274,-0.027300313,-0.036400417,-0.024818466,22.07989246,,
abrossv01w,2001,Svetlana Abrosimova,MIN,F,26,846,26,846,16.5,0.491,0.425,0.262,0.449,6.6,13.2,16.4,2.9,0.9,19.4,25.4,91,93,0.5,1.4,2,0.092,0.052958204,1.326773998,1.379732202,2.721146351,3.401432939,0.128659402,23.67803635,,
abrossv01w,2002,Svetlana Abrosimova,MIN,F,27,805,27,805,12.6,0.428,0.408,0.19,0.367,7.9,12.5,18,3.1,1.1,20,28.9,81,95,-1.6,1.4,-0.2,-0.008,-3.480534273,0.808220896,-2.672313377,0.828015503,1.035019379,0.041143627,23.40528374,,
abrossv01w,2003,Svetlana Abrosimova,MIN,F,30,792,30,792,15.8,0.485,0.437,0.288,0.344,7.5,11.8,20.8,3.2,1.2,21.5,25.7,92,97,0.4,1.1,1.5,0.076,-0.892368727,0.586990785,-0.305377942,1.834754909,2.158535187,0.092664389,23.16195357,,
abrossv01w,2004,Svetlana Abrosimova,MIN,F,22,462,22,462,13,0.458,0.424,0.381,0.331,4.8,10.5,21.5,3.8,0.4,21.3,21.5,87,90,-0.2,1.1,0.9,0.079,-1.838808872,2.848501381,1.009692508,1.399747707,1.646762008,0.121190278,18.27315003,,
abrossv01w,2005,Svetlana Abrosimova,MIN,F,31,777,31,777,14.4,0.493,0.455,0.297,0.264,5,9.1,17.4,3.6,0.6,20.6,24.9,89,96,-0.1,1.2,1.1,0.056,-1.402742316,1.129196479,-0.273545836,1.813418473,2.133433498,0.093354876,22.85235361,,
