season,date,playoff,neutral,status,team1,team2,team1_abbr,team2_abbr,team1_pregame_rating,team2_pregame_rating,team1_winprob,team2_winprob,team1_score,team2_score,team1_postgame_rating,team2_postgame_rating,is_home,gm_no1,gm_no2,win1,EloDiff1,mov_mult1,elo_shift1
1997,1997-06-20,0,0,post,Las Vegas Aces,Sacramento Monarchs,LVA,SAC,1500,1500,0.61313682,0.38686318,60,70,1480.965871,1519.034129,1,NA,NA,NA,NA,NA,NA
1997,1997-06-20,0,0,post,Los Angeles Sparks,New York Liberty,LAS,NYL,1500,1500,0.61313682,0.38686318,57,67,1480.965871,1519.034129,1,NA,NA,NA,NA,NA,NA
1997,1997-06-20,0,0,post,Cleveland Rockers,Houston Comets,CLE,HOU,1500,1500,0.61313682,0.38686318,56,76,1469.955804,1530.044196,1,NA,NA,NA,NA,NA,NA
1997,1997-06-20,0,0,post,Sacramento Monarchs,Las Vegas Aces,SAC,LVA,1500,1500,0.38686318,0.61313682,70,60,1519.034129,1480.965871,0,NA,NA,NA,NA,NA,NA
1997,1997-06-20,0,0,post,New York Liberty,Los Angeles Sparks,NYL,LAS,1500,1500,0.38686318,0.61313682,67,57,1519.034129,1480.965871,0,NA,NA,NA,NA,NA,NA
1997,1997-06-20,0,0,post,Houston Comets,Cleveland Rockers,HOU,CLE,1500,1500,0.38686318,0.61313682,76,56,1530.044196,1469.955804,0,NA,NA,NA,NA,NA,NA
1997,1997-06-21,0,0,post,Phoenix Mercury,Charlotte Sting,PHO,CHA,1500,1500,0.61313682,0.38686318,76,59,1514.912022,1485.087978,1,NA,NA,NA,NA,NA,NA
1997,1997-06-21,0,0,post,Charlotte Sting,Phoenix Mercury,CHA,PHO,1500,1500,0.38686318,0.61313682,59,76,1485.087978,1514.912022,0,NA,NA,NA,NA,NA,NA
1997,1997-06-22,0,0,post,Sacramento Monarchs,New York Liberty,SAC,NYL,1519.034129,1519.034129,0.61313682,0.38686318,62,73,1498.837413,1539.230844,1,NA,NA,NA,NA,NA,NA
1997,1997-06-22,0,0,post,Las Vegas Aces,Los Angeles Sparks,LVA,LAS,1480.965871,1480.965871,0.61313682,0.38686318,102,89,1493.439951,1468.491791,1,NA,NA,NA,NA,NA,NA
1997,1997-06-22,0,0,post,New York Liberty,Sacramento Monarchs,NYL,SAC,1519.034129,1519.034129,0.38686318,0.61313682,73,62,1539.230844,1498.837413,0,NA,NA,NA,NA,NA,NA
